Q003;MEDIA_GERAL
A;450.651336828826
B;463.55231789014795
C;489.65470105367984
D;501.81477801466633
E;511.5862990921765
F;521.4682878286409
G;533.2231997632241
H;545.1793276382846
I;558.5466934557979
J;567.3753169645385
K;572.2130197800702
L;580.248759057971
M;588.6608723854912
N;595.2774126762079
O;601.4137258081954
P;611.2879164979198
Q;621.2950168976647
